,dataset,did,class_ratio,baseline_kappa,raw_kappa,ovo_kappa,ovr_kappa,baseline_auc,raw_auc,ovo_auc,ovr_auc,baseline_brier,raw_brier,ovo_brier,ovr_brier
0,balance-scale,11,5.877551020408164,0.7089475926714955,0.8026692087702574,0.6348535518724046,0.7869274318064848,0.7531986705043859,0.877905701754386,0.8546852156432748,0.8720520376461988,0.2640901771336554,0.2529353302262315,0.40646225003264996,0.2699986160133745
1,ecoli,39,71.5,0.787643484132343,0.7605313954808675,0.718025182239894,0.799819657348963,0.7966498475599135,0.8890797286032402,0.77840514929376,0.8808396627509805,0.2902902902902903,0.3178712318281331,0.4430366105610312,0.3073325321443681
2,yeast,181,92.6,0.40438698270622686,0.4726792090464075,0.40826403991300997,0.4807925640842634,0.8276287251664705,0.8725868397385336,0.9013998341191028,0.8783484816744325,0.6399092970521542,0.5724544252358426,0.6622105220156599,0.566290160714106
3,hayes-roth,329,2.096774193548387,0.21967020023557127,0.3479789103690686,0.5195467422096318,0.41825534373194684,0.7542929292929292,0.8616883116883116,0.8787518037518037,0.870923520923521,0.5911949685534591,0.500595534533753,0.46408469691242976,0.48285073320822064
4,rmftsa_sleepdata,679,4.297872340425532,0.13746616832065972,0.13937584152080307,0.14706853450308954,0.14959131262302994,0.62641628092538,0.6390922109433357,0.6405491759839701,0.6374174370911424,0.7968441814595661,0.6578832720851391,0.7157117721977864,0.6627889741533622
5,diggle_table_a2,694,2.2777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1979967591933136,0.19381731264523677,0.1964192080025178
6,prnn_fglass,952,8.444444444444445,0.6627968337730871,0.6389830508474577,0.5845840752989062,0.6071922544951591,0.9450637681159421,0.9501220611916263,0.9509560386473429,0.9496621578099839,0.2848200312989046,0.4077792117985132,0.48757751706210856,0.40378935851193515
7,desharnais,1117,4.6,-0.1847575057736719,0.1480582524271844,-0.16883116883116878,-0.1200873362445416,0.47934027777777777,0.5513888888888889,0.5680555555555555,0.5642361111111112,0.8724279835390947,0.6490948394558923,0.7281987001756446,0.7002020931967892
8,user-knowledge,1508,5.375,0.7283582089552239,0.7259687772406689,0.7475130989444909,0.7712096332785988,0.8858919817927171,0.9307612628384687,0.9363781415343915,0.9326852824463119,0.27736006683375103,0.3659282937393514,0.41889315810780187,0.3601723818700894
9,heart-long-beach,1512,5.6,0.17323556370302462,0.1612708018154312,0.14487632508833925,0.14543812104787723,0.5670312569472233,0.6354225023342671,0.6367052376506158,0.635235760971055,0.8956228956228957,0.7424391896213718,0.768693334659001,0.74268381522354
10,heart-switzerland,1513,9.6,0.0016792611251048584,-0.0531443755535872,-0.10987261146496796,-0.12562396006655563,0.48717329545454546,0.47675189393939393,0.46291666666666664,0.4687594696969697,0.9972899728997289,0.7616091649393699,0.845269245860543,0.7698863987300922
11,vertebra-column,1523,2.5,0.7229941730165845,0.7346165504698394,0.7568962973889954,0.7231596237121098,0.9256338383838383,0.930030303030303,0.9285757575757575,0.9297828282828283,0.22222222222222224,0.27066103488513765,0.3071993857530287,0.28227771213479835
12,volcanoes-e1,1542,120.33333333333333,-0.02182150790539672,0.0,0.030725791211356435,0.005715531229565918,0.5581849394785847,0.5785966656215559,0.6012022336867708,0.5962186585528066,0.21483375959079284,0.16191945380986963,0.7535278807593588,0.4149134147186277
13,breast-tissue,1559,3.5,0.20554854981084492,0.19485791610284176,0.3560606060606061,0.4145758661887694,0.7683567176870748,0.8201955782312926,0.8175170068027211,0.8206207482993199,0.6095238095238095,0.5670665345509124,0.5989545825364978,0.5633878439079826
14,heart-h,1565,12.533333333333333,0.05915931499740534,0.0,0.1744149765990639,0.12958323844226827,0.5901322751322751,0.661084656084656,0.6527777777777777,0.6722045855379188,0.6031746031746031,0.5269346046014811,0.7484737719761216,0.5731904434288685
15,ecoli,40671,7.15,0.8301064859632139,0.8164380235522641,0.8188570743979873,0.830003632401017,0.9442155819774719,0.9713812205733356,0.9762528160200251,0.9731924727337743,0.20987654320987653,0.25181821222327283,0.2880367000646947,0.24432460824302987
16,thyroid-new,40682,5.0,0.8101604278074866,0.5144660704892162,0.8539695598519128,0.7821131082858396,0.9683956916099774,0.9856859410430839,0.9880952380952381,0.9860260770975057,0.11580594679186228,0.2193931552239816,0.2034272843715626,0.17035181622403095
17,wine-quality-red,40691,68.1,0.20079052738000713,0.2229158749977379,0.16460293874855547,0.2570530709880161,0.5862040175318216,0.6245423591301298,0.6030598019347206,0.6285325206342769,0.6957070707070708,0.5747269167282327,0.7749598638393436,0.5803772001084642
18,steel-plates-fault,40982,12.236363636363636,0.24716574564184868,0.2857804046872965,0.2340078933358024,0.2996688907673649,0.6511401921300735,0.729644217194202,0.7497016462732594,0.7327162847281059,0.8053388802218756,0.6574318411874456,0.7439894926387209,0.6591306784395103
19,CPMP-2015-runtime-classification,41919,2.6666666666666665,0.2656206991467107,0.316709208717848,0.26551628165878094,0.32354942171250844,0.6363431652246697,0.6625880011768022,0.6570437716506721,0.6615282577528053,0.7598978288633461,0.6282845957353331,0.6620119857277569,0.6320548985550408
